,base_name,imp_grouped
13,obamaapp_2016,0.016666666666666476
7,healthreformbill_2016,0.01128472222222212
17,pp_primary16_2016,0.003993055555555447
14,pid3_2016,0.002951388888888795
11,immi_muslim_2016,0.0024305555555555135
20,view_transgender_2016,0.001736111111111027
10,immi_contribution_2016,0.0017361111111109829
15,police_threat_2016,0.0015624999999999112
3,envwarm_2016,0.0013888888888888395
9,imiss_l_2016,0.0012152777777777236
2,affirmact_gen_2016,0.001215277777777679
8,imiss_d_2016,0.0008680555555554692
16,policies_favor_2016,0.0003472222222220989
18,taxdoug_2016,0.00017361111111109385
21,wealth_2016,0.00017361111111102723
12,immi_naturalize_2016,0.0
0,RIGGED_SYSTEM_3_2016,0.0
4,gender_equality_2016,0.0
1,RIGGED_SYSTEM_4_2016,-0.00017361111111113825
5,govt_reg_2016,-0.0008680555555556025
6,gvmt_involment_2016,-0.0012152777777778123
19,univhealthcov_2016,-0.002083333333333437
