,feature,shap_→_Trump,shap_→_Clinton,answer_→_Trump,answer_→_Clinton
0,post_presvote12_2012,1.9691,-1.3857,Mitt Romney,—
1,cmatch_romn_baseline,0.6481,-0.461,Mitt Romney,—
2,vote_generic_baseline,0.1895,-0.1314,The Republican Party candidate,The Democratic Party candidate
3,obamaapp_baseline,0.1665,-0.2568,Strongly Disapprove,Somewhat Approve
4,healthreformbill_baseline,0.114,-0.1706,Not sure,Expanded
5,teapartsup_baseline,0.2905,-0.1969,"Neither support, nor oppose",Strongly oppose
6,post_house12_2012,0.0974,-0.14,$HouseCand2Name ($HouseCand2Party),$HouseCand1Name ($HouseCand1Party)
7,fav_biden_baseline,0.1765,-0.1014,Very unfavorable,Somewhat unfavorable
8,healthqualch3_baseline,0.065,-0.0473,Worse care,About the same
9,post_ideo5_2012,0.131,-0.0722,Very Conservative,Moderate
10,govt_reg_baseline,0.1525,-0.0758,Too much,About the right amount
11,fav_hrc_baseline,0.2755,-0.1803,Very unfavorable,Very favorable
12,post_pid3_2012,0.0932,-0.1536,Republican,Democrat
13,healthtaxch3_baseline,0.044,-0.0449,Pay more,About the same
14,fav_bach_baseline,0.2903,-0.2423,Somewhat favorable,Very unfavorable
15,fav_sant_baseline,0.1735,-0.2246,Somewhat favorable,Very unfavorable
16,envwarm_baseline,0.0738,-0.0359,Probably is happening,Definitely is happening
17,fav_ging_baseline,0.0486,-0.0413,Somewhat favorable,Very unfavorable
18,fav_perr_baseline,0.2096,-0.2559,Somewhat unfavorable,Very unfavorable
19,taxwealth_baseline,0.1015,-0.0829,Oppose,Favor
20,saysobama_baseline,0.0037,-0.0068,Says what he believes,Not sure
21,envser2_baseline,0.0888,-0.0941,Not very serious,Very serious
22,likenewt_baseline,0.0667,-0.0415,Like somewhat,Not sure
23,track_baseline,0.061,-0.0771,Off on the wrong track,Generally headed in the right direction
24,econtrend_baseline,0.4283,-0.1624,Getting worse,—
