,base_name
23,vote_generic_baseline
1,cmatch_romn_baseline
0,cmatch_ging_baseline
7,fav_obama_baseline
12,obamaapp_baseline
18,prim12_baseline
9,healthreformbill_baseline
2,cong2012_2_baseline
13,pid3_baseline
10,ideoobama_baseline
11,likeobama_baseline
21,teapartsup_baseline
6,fav_biden_baseline
5,fav_bach_baseline
4,envwarm_baseline
3,envpoll2_baseline
15,post_pid3_2012
14,post_house12_2012
8,gaymar2_baseline
17,presvote08_baseline
20,taxwealth_baseline
19,selfdescr_ccap_7_baseline
22,univhealthcov_baseline
16,post_presvote12_2012
